date,Region,District,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price
1/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,700
2/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,525
3/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,600
4/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,900
5/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1025
6/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1100
7/15/1995,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1400
7/15/1995,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3000
7/15/1995,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500
7/15/1995,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3000
7/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1650
7/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3200
7/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,850
8/15/1995,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3000
8/15/1995,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500
8/15/1995,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3000
8/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1250
8/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3350
8/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,800
9/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1000
9/15/1995,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,800
1/15/1996,Awdal,Borama,Borama,9.938690186,43.18392181,cereals and tubers,Maize (white),KG,actual,Retail,SOS,130
1/15/1996,Awdal,Borama,Borama,9.938690186,43.18392181,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,240
1/15/1996,Awdal,Borama,Borama,9.938690186,43.18392181,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,150
1/15/1996,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1175
1/15/1996,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3375
1/15/1996,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4400
1/15/1996,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3750
1/15/1996,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1460
1/15/1996,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,900
1/15/1996,Juba Hoose,Kismaayo,Kismayo,-0.360289991,42.54626083,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3750
1/15/1996,Juba Hoose,Kismaayo,Kismayo,-0.360289991,42.54626083,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,6000
1/15/1996,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603,44.06678009,cereals and tubers,Maize (white),KG,actual,Retail,SOS,97
1/15/1996,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603,44.06678009,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,248
1/15/1996,Woqooyi Galbeed,Hargeysa,Hargeysa,9.559749603,44.06678009,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,122
2/15/1996,Awdal,Borama,Borama,9.938690186,43.18392181,cereals and tubers,Maize (white),KG,actual,Retail,SOS,162
2/15/1996,Awdal,Borama,Borama,9.938690186,43.18392181,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,331
2/15/1996,Awdal,Borama,Borama,9.938690186,43.18392181,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,208
2/15/1996,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1250
2/15/1996,Bay,Baydhaba,Baidoa,3.117180109,43.64690018,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1350
